bits,condition,seed,run_name,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
8,nominal,0,bits_wsb8_s0,9,0,0.5556164338805849,0.5462179784796468,0.46199134199134206,0.7106091644204853,0.5902857142857143,0.45957951482479786
8,quant_only,0,bits_wsb8_s0,0,0,0.7501959384954668,0.6322065347760482,0.7676948051948053,0.8129487870619947,0.620388140161725,0.7997520215633424
8,nominal,1,bits_wsb8_s1,0,0,0.6251742526341584,0.5660340280375037,0.6789935064935064,0.7022857142857143,0.7130889487870621,0.4063288409703504
8,nominal,1,bits_wsb8_s1,1,0,0.5561792657028506,0.5543661361809326,0.350021645021645,0.7683989218328842,0.5925929919137467,0.5137035040431267
8,nominal,1,bits_wsb8_s1,2,0,0.6486759985297721,0.543378224721323,0.7537012987012988,0.7143827493261456,0.3932830188679245,0.7333369272237197
8,nominal,1,bits_wsb8_s1,3,0,0.701316272563914,0.6172438493317342,0.7752489177489177,0.8496388140161726,0.45304582210242594,0.7273315363881402
8,nominal,1,bits_wsb8_s1,4,0,0.7056706383239402,0.5871226630039936,0.7765909090909091,0.7497250673854448,0.5773584905660378,0.7190080862533692
8,nominal,1,bits_wsb8_s1,5,0,0.7097272931471045,0.5923176831443961,0.7280735930735931,0.7140808625336927,0.5724204851752022,0.8243342318059299
8,nominal,1,bits_wsb8_s1,6,0,0.6794811422853875,0.6010941268265002,0.6442965367965368,0.7673423180592991,0.5610566037735849,0.7452291105121294
8,nominal,1,bits_wsb8_s1,7,0,0.7361521992158786,0.5888951043990766,0.7156168831168831,0.8837520215633423,0.637067385444744,0.7081725067385445
8,nominal,1,bits_wsb8_s1,8,0,0.5759031589479702,0.5365390857074075,0.5744913419913419,0.7171536388140162,0.40883018867924525,0.6031374663072776
8,nominal,1,bits_wsb8_s1,9,0,0.675251654006371,0.5663720299892097,0.7524675324675325,0.735654986522911,0.5149541778975741,0.6979299191374664
8,quant_only,1,bits_wsb8_s1,0,0,0.7095105060034306,0.617244494168526,0.7611363636363636,0.7791266846361187,0.5686253369272237,0.7291536388140162
8,nominal,2,bits_wsb8_s2,0,0,0.6214699726374255,0.540749923694313,0.6924567099567099,0.6567654986522912,0.5025983827493261,0.6340592991913747
8,nominal,2,bits_wsb8_s2,1,0,0.656603191619701,0.5664766010222813,0.8365259740259741,0.7239137466307278,0.4270404312668463,0.638932614555256
8,nominal,2,bits_wsb8_s2,2,0,0.6576600608510985,0.5873989755692834,0.702521645021645,0.8593962264150943,0.4804097035040431,0.5883126684636117
8,nominal,2,bits_wsb8_s2,3,0,0.6932131115739606,0.6019389167601681,0.7487554112554112,0.8354932614555256,0.4845714285714286,0.704032345013477
8,nominal,2,bits_wsb8_s2,4,0,0.6090690190312832,0.5499641578216554,0.5388744588744588,0.7940161725067385,0.4714285714285714,0.6319568733153639
8,nominal,2,bits_wsb8_s2,5,0,0.7656193130768603,0.6189257986303667,0.7436147186147186,0.7545660377358491,0.7563180592991915,0.807978436657682
8,nominal,2,bits_wsb8_s2,6,0,0.6874990198480765,0.5684898889591045,0.7403896103896105,0.7583396226415094,0.6464797843665768,0.6047870619946091
8,nominal,2,bits_wsb8_s2,7,0,0.6658527321734868,0.5523149103461913,0.6524675324675324,0.708722371967655,0.561466307277628,0.740754716981132
8,nominal,2,bits_wsb8_s2,8,0,0.6012339704320836,0.5360613691174764,0.688008658008658,0.6106415094339622,0.5304474393530998,0.5758382749326145
8,nominal,2,bits_wsb8_s2,9,0,0.6991056828391734,0.5923562121427066,0.6463095238095238,0.8706954177897576,0.5913962264150943,0.6880215633423181
8,quant_only,2,bits_wsb8_s2,0,0,0.6963048987176346,0.5985562104231419,0.7374783549783549,0.7808733153638814,0.5860592991913747,0.6808086253369271
10,nominal,0,bits_wsb10_s0,0,0,0.7252224638568978,0.5772676760511914,0.6700974025974026,0.8219838274932615,0.6591374663072777,0.7496711590296496
10,nominal,0,bits_wsb10_s0,1,0,0.778288021726701,0.6642940971640078,0.7253030303030301,0.8997520215633424,0.5851859838274933,0.9029110512129379
10,nominal,0,bits_wsb10_s0,2,0,0.6625468635138447,0.5615890605587726,0.6511038961038962,0.8695202156334232,0.5248301886792452,0.604733153638814
10,nominal,0,bits_wsb10_s0,3,0,0.6759851547823246,0.5853141107485695,0.6128354978354978,0.7564743935309973,0.6151805929919137,0.7194501347708895
10,nominal,0,bits_wsb10_s0,4,0,0.6894878195703668,0.5506013103083609,0.6542316017316017,0.8075256064690027,0.5075902964959569,0.7886037735849057
10,nominal,0,bits_wsb10_s0,5,0,0.636893183860165,0.5297565311219731,0.6096320346320346,0.6230404312668464,0.6239029649595687,0.6909973045822102
10,nominal,0,bits_wsb10_s0,6,0,0.6696031609899534,0.559723547720072,0.6822077922077922,0.7266846361185983,0.5416819407008087,0.7278382749326144
10,nominal,0,bits_wsb10_s0,7,0,0.6934062117128155,0.5767385337271137,0.7191558441558442,0.7791482479784366,0.6053800539083558,0.6699407008086253
10,nominal,0,bits_wsb10_s0,8,0,0.6780870293228785,0.5924798058611365,0.7665367965367965,0.8393207547169811,0.5283989218328842,0.5780916442048518
10,nominal,0,bits_wsb10_s0,9,0,0.6320197459772932,0.5795701732891405,0.7495021645021644,0.7645606469002695,0.4865768194070081,0.5274393530997304
10,quant_only,0,bits_wsb10_s0,0,0,0.7505853038470963,0.6330608360523952,0.7661363636363636,0.8201401617250673,0.6397412398921832,0.7763234501347709
