arch,sigma_read,seed,chip,calib_windows,auc
none,0.04,2,5,20480,0.747631697704811
none,0.04,2,6,0,0.7152176549865229
none,0.04,2,6,2048,0.7110167953116067
none,0.04,2,6,20480,0.7211343420730213
none,0.04,2,7,0,0.732430490892755
none,0.04,2,7,2048,0.7196404782324594
none,0.04,2,7,20480,0.7312660806174955
none,0.04,2,8,0,0.7346053152822021
none,0.04,2,8,2048,0.7317523993302295
none,0.04,2,8,20480,0.7418106162705218
none,0.04,2,9,0,0.7229461733235318
none,0.04,2,9,2048,0.7153825859674916
none,0.04,2,9,20480,0.7141314935064935
