arch,sigma_read,depth,seed,run_name,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
per_layer,0.04,2,1,arch_per_layer_r0.04_d2_s1,7,0,0.7263964306134117,0.6036122682349098,0.7059307359307359,0.7739514824797844,0.6153423180592992,0.8103611859838274
per_layer,0.04,2,1,arch_per_layer_r0.04_d2_s1,8,0,0.7305587784856652,0.604766848510642,0.7180194805194806,0.7830727762803235,0.6200431266846361,0.8010997304582209
per_layer,0.04,2,1,arch_per_layer_r0.04_d2_s1,9,0,0.7179526055705301,0.601905385246994,0.7211904761904762,0.7739191374663074,0.6028787061994608,0.7738221024258761
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,0,0,0.7385633729478069,0.6100309736605665,0.7257467532467533,0.7820592991913746,0.6260592991913747,0.820388140161725
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,1,0,0.7389937311116557,0.6112271996457697,0.7390692640692641,0.7839245283018867,0.5987601078167116,0.8342210242587602
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,2,0,0.7384882075471698,0.6106445358679718,0.7089285714285715,0.7987385444743935,0.6300700808625337,0.8162156334231807
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,3,0,0.7358178653107899,0.6058620500651285,0.738365800865801,0.7874932614555257,0.6249703504043127,0.7924420485175203
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,4,0,0.7501364351057748,0.6199543670496998,0.7389069264069266,0.8019514824797844,0.6376172506738544,0.8220700808625336
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,5,0,0.7314621416319529,0.608126179513965,0.7212987012987013,0.7893369272237197,0.6126792452830189,0.8025336927223718
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,6,0,0.7320439843175692,0.6031089731189037,0.7466233766233765,0.7751590296495958,0.6165175202156336,0.789876010781671
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,7,0,0.7314144919545863,0.6071569360794782,0.7393614718614718,0.7779299191374665,0.6111374663072776,0.7972291105121294
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,8,0,0.7351408764191784,0.6073946121736589,0.7293290043290043,0.792366576819407,0.609843665768194,0.809024258760108
per_layer,0.04,2,2,arch_per_layer_r0.04_d2_s2,9,0,0.718808798905497,0.6016836688634106,0.7201839826839826,0.7809164420485175,0.5805390835579515,0.7935956873315364
none,0.08,2,0,arch_none_r0.08_d2_s0,0,0,0.7162217900024503,0.6145308060030006,0.666525974025974,0.7331967654986523,0.5882371967654988,0.8769272237196765
none,0.08,2,0,arch_none_r0.08_d2_s0,1,0,0.721217481417953,0.6217645313971034,0.6619588744588746,0.7242911051212939,0.6059622641509433,0.8926576819407007
none,0.08,2,0,arch_none_r0.08_d2_s0,2,0,0.724877532059136,0.6146513904830687,0.6816125541125542,0.7182857142857144,0.6181239892183288,0.8814878706199463
none,0.08,2,0,arch_none_r0.08_d2_s0,3,0,0.7191931613983501,0.6148700976282903,0.6590367965367965,0.7260377358490566,0.6017574123989219,0.8899407008086254
none,0.08,2,0,arch_none_r0.08_d2_s0,4,0,0.7300443110348771,0.6218415356573251,0.6669696969696969,0.7310727762803235,0.6158598382749326,0.9062749326145554
none,0.08,2,0,arch_none_r0.08_d2_s0,5,0,0.7273400922976394,0.6195957303206558,0.6833549783549784,0.7524312668463612,0.5989433962264151,0.8746307277628033
none,0.08,2,0,arch_none_r0.08_d2_s0,6,0,0.695669239565466,0.6104047103178185,0.6465367965367964,0.6909218328840971,0.5730997304582209,0.8721185983827493
none,0.08,2,0,arch_none_r0.08_d2_s0,7,0,0.7219723107081597,0.6188197767145136,0.6677922077922077,0.7228140161725067,0.6133045822102426,0.8839784366576818
none,0.08,2,0,arch_none_r0.08_d2_s0,8,0,0.7090180102915953,0.6112222021606332,0.641948051948052,0.7115795148247979,0.5984690026954178,0.8840754716981132
none,0.08,2,0,arch_none_r0.08_d2_s0,9,0,0.714189393939394,0.6108064973755143,0.6750432900432901,0.7096495956873315,0.5971320754716981,0.8749326145552561
none,0.08,2,1,arch_none_r0.08_d2_s1,0,0,0.7258550600343052,0.6204770610058594,0.6549350649350649,0.734199460916442,0.6241832884097035,0.8901024258760107
none,0.08,2,1,arch_none_r0.08_d2_s1,1,0,0.7317619660214,0.6218682963841852,0.661969696969697,0.7435471698113207,0.6287978436657682,0.892733153638814
none,0.08,2,1,arch_none_r0.08_d2_s1,2,0,0.7265572061586212,0.6238807782750186,0.653495670995671,0.7385660377358492,0.6194932614555255,0.8946738544474393
none,0.08,2,1,arch_none_r0.08_d2_s1,3,0,0.7244151045495385,0.6194121667805879,0.6600108225108225,0.7339514824797844,0.6114393530997305,0.8922587601078168
none,0.08,2,1,arch_none_r0.08_d2_s1,4,0,0.7246366903536715,0.6236278410434319,0.6577489177489177,0.7324420485175202,0.6181132075471698,0.8902425876010782
none,0.08,2,1,arch_none_r0.08_d2_s1,5,0,0.732144603038471,0.6285467098277426,0.6761363636363636,0.7355363881401618,0.6225660377358491,0.8943396226415095
none,0.08,2,1,arch_none_r0.08_d2_s1,6,0,0.724175457404231,0.6160229046028451,0.6774134199134199,0.7242264150943397,0.6077628032345014,0.8872991913746631
none,0.08,2,1,arch_none_r0.08_d2_s1,7,0,0.7195851813281059,0.6223023790178706,0.6631493506493508,0.7284743935309974,0.6102641509433963,0.8764528301886793
none,0.08,2,1,arch_none_r0.08_d2_s1,8,0,0.7355788613901821,0.6246690375166045,0.6764502164502165,0.7314393530997304,0.6316010781671159,0.9028247978436658
none,0.08,2,1,arch_none_r0.08_d2_s1,9,0,0.7183794515233195,0.6199708641242901,0.636504329004329,0.7282587601078168,0.6158921832884097,0.8928625336927225
none,0.08,2,2,arch_none_r0.08_d2_s2,0,0,0.7106991750387976,0.5993262530253592,0.6796969696969697,0.7304258760107817,0.5793800539083558,0.8532938005390835
none,0.08,2,2,arch_none_r0.08_d2_s2,1,0,0.7149926488605735,0.600798254211859,0.6636363636363637,0.7194285714285715,0.6255525606469002,0.8513530997304581
none,0.08,2,2,arch_none_r0.08_d2_s2,2,0,0.7268245528056849,0.611405228336708,0.6540259740259741,0.738501347708895,0.6415525606469002,0.8732183288409705
none,0.08,2,2,arch_none_r0.08_d2_s2,3,0,0.7175527750551336,0.6089995034756703,0.6487987012987013,0.7303504043126685,0.616010781671159,0.8750512129380054
