train_sigma_read,eval_sigma_read,seed,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
0.04,0.0,2,3,0,0.765766295025729,0.6317128584755198,0.7494155844155844,0.829854447439353,0.6669218328840971,0.8168733153638815
0.04,0.0,2,4,0,0.7435628114024341,0.6300852366765971,0.7708658008658008,0.8044743935309974,0.5920646900269542,0.8068463611859839
0.04,0.0,2,5,0,0.7504024442538593,0.6222636350739628,0.7523051948051948,0.8190727762803235,0.6485067385444744,0.7817250673854448
0.04,0.0,2,6,0,0.738447030956465,0.6246765068761098,0.7767099567099568,0.8096711590296497,0.5899407008086254,0.7774663072776281
0.04,0.0,2,7,0,0.7472404230989136,0.627795260019689,0.7634199134199133,0.8210026954177898,0.6112884097035041,0.7932506738544475
0.04,0.0,2,8,0,0.7425993731111656,0.6179663889569551,0.7667640692640693,0.7655202156334231,0.645078167115903,0.7930350404312669
0.04,0.0,2,9,0,0.7337471820632198,0.6235893120451214,0.7805844155844155,0.8030943396226414,0.5777250673854448,0.7735849056603773
0.04,0.04,2,0,0,0.7077920240137221,0.6136516785101691,0.7224025974025974,0.7792452830188681,0.5276226415094339,0.8018975741239892
0.04,0.04,2,1,0,0.7272944641836151,0.6151657015609349,0.7064177489177489,0.7758921832884097,0.6198059299191375,0.8070619946091644
0.04,0.04,2,2,0,0.7254670321816549,0.621446949277138,0.7379112554112555,0.7761617250673855,0.5769272237196765,0.8108679245283018
0.04,0.04,2,3,0,0.74374260802091,0.6277517872726414,0.730021645021645,0.790900269541779,0.6013800539083558,0.8526684636118599
0.04,0.04,2,4,0,0.7230268724985707,0.6209933603305003,0.7084848484848486,0.7748032345013478,0.6039568733153639,0.8048625336927224
0.04,0.04,2,5,0,0.7222909009229763,0.6145494525335637,0.7312121212121211,0.7748463611859838,0.5807654986522911,0.8023396226415095
0.04,0.04,2,6,0,0.7100294045577064,0.6091467949461992,0.734025974025974,0.7385229110512129,0.573843665768194,0.7937250673854447
0.04,0.04,2,7,0,0.7205718471779792,0.6197590889745805,0.740443722943723,0.7859191374663071,0.5611212938005391,0.7948032345013478
0.04,0.04,2,8,0,0.723011567834681,0.6204716873659277,0.7094047619047619,0.7770350404312668,0.5997412398921833,0.8058652291105121
0.04,0.04,2,9,0,0.7221166891284816,0.6203628174209108,0.7636904761904761,0.7801078167115902,0.5385983827493261,0.8060700808625336
