arm,sigma,seed,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4,run_name
C2,0.0,2,2,0,0.7510254022706853,0.5703480399110985,0.7297835497835496,0.787266846361186,0.6620592991913746,0.8249919137466306,
C2,0.0,2,3,0,0.7816124418034796,0.6037213531255239,0.760616883116883,0.8064797843665769,0.710900269541779,0.8484528301886793,
C2,0.0,2,4,0,0.7452035550927061,0.5635160478382921,0.7386255411255411,0.8029002695417788,0.6616495956873315,0.7776388140161725,
C2,0.0,2,5,0,0.7349025259331864,0.5729007875606684,0.7195346320346321,0.7801940700808626,0.6293261455525606,0.8105552560646901,
C2,0.0,2,6,0,0.6929758127093033,0.5408158582562753,0.7057900432900432,0.7378975741239893,0.5881725067385445,0.7400431266846361,
C2,0.0,2,7,0,0.7662231070815977,0.598310850023859,0.7850649350649351,0.8211536388140162,0.6851428571428573,0.7735309973045823,
C2,0.0,2,8,0,0.7207437515314874,0.5382087831069956,0.7198051948051948,0.7643665768194072,0.6363234501347709,0.7624797843665768,
C2,0.0,2,9,0,0.7669470922159601,0.5857356190648147,0.7439177489177489,0.8036226415094339,0.6963234501347708,0.823924528301887,
C2,0.01,2,0,0,0.697027311524953,0.5586260892368142,0.7632359307359307,0.7439568733153639,0.567989218328841,0.7129272237196765,
C2,0.01,2,1,0,0.7482165931552724,0.5806133042726885,0.741017316017316,0.8458221024258761,0.6536495956873316,0.752377358490566,
C2,0.01,2,2,0,0.7241712917585559,0.5498870998250343,0.6729978354978354,0.7658436657681941,0.6791590296495956,0.7786846361185984,
C2,0.01,2,3,0,0.7496514538920199,0.6019925456866867,0.7391125541125542,0.8285929919137466,0.5740916442048518,0.8568086253369271,
C2,0.01,2,4,0,0.7352447827329902,0.5507301164575247,0.7508982683982685,0.7876981132075471,0.6581024258760109,0.7442803234501347,
C2,0.01,2,5,0,0.7024534529935473,0.5639113327916704,0.643517316017316,0.745121293800539,0.6446576819407008,0.7765175202156335,
C2,0.01,2,6,0,0.6854371579678183,0.5437435247638823,0.7262445887445887,0.7293477088948788,0.60366576819407,0.6824905660377358,
C2,0.01,2,7,0,0.7642918708649841,0.5820941719650756,0.7979545454545454,0.7770026954177898,0.6947169811320756,0.7874932614555257,
C2,0.01,2,8,0,0.7095403802172671,0.5290271132376395,0.7013744588744588,0.717811320754717,0.6734339622641509,0.7455417789757414,
C2,0.01,2,9,0,0.7715330699175039,0.5800058142784061,0.7793398268398269,0.7950619946091645,0.6644959568733153,0.847234501347709,
C2,0.02,2,0,0,0.7476616229682267,0.5831927051763199,0.7356060606060606,0.817455525606469,0.6657681940700808,0.7718167115902965,
C2,0.02,2,1,0,0.7519863901821449,0.5799366555324847,0.7341450216450216,0.7410781671159029,0.7235040431266846,0.8092183288409703,
C2,0.02,2,2,0,0.7180622396471454,0.5775016443338191,0.7145454545454546,0.7980053908355795,0.6047978436657682,0.754900269541779,
C2,0.02,2,3,0,0.7720306807971903,0.6023922907612084,0.7610930735930737,0.7773584905660378,0.7725283018867924,0.7771428571428571,
C2,0.02,2,4,0,0.7280868659642246,0.5880932498484633,0.714935064935065,0.7991051212938005,0.6399353099730458,0.7583719676549865,
C2,0.02,2,5,0,0.753039910561137,0.5667425424625028,0.7494480519480521,0.7990188679245284,0.6472722371967654,0.816420485175202,
C2,0.02,2,6,0,0.6863554582210242,0.556165069620879,0.6939285714285715,0.778954177897574,0.6015202156334232,0.6710188679245284,
C2,0.02,2,7,0,0.6871839724740668,0.5707483760860126,0.766439393939394,0.7279676549865229,0.5475795148247978,0.7067493261455526,
C2,0.02,2,8,0,0.7466502899616106,0.562811241224846,0.7064502164502164,0.8005283018867924,0.7507277628032345,0.7288948787061994,
C2,0.02,2,9,0,0.771724342481418,0.5632576832303744,0.8049458874458876,0.8210134770889488,0.6823288409703504,0.7786091644204852,
C2,0.03,2,0,0,0.6287807522666014,0.5106893520250024,0.6790259740259741,0.6434285714285713,0.5776172506738544,0.6150512129380054,
C2,0.03,2,1,0,0.685275739197909,0.568650184638268,0.686569264069264,0.7536388140161725,0.5818544474393531,0.7190404312668464,
C2,0.03,2,2,0,0.69835218083803,0.5755659517576102,0.5818831168831169,0.7225121293800538,0.7226199460916443,0.7663935309973047,
C2,0.03,2,3,0,0.7415256983582456,0.6015952187501343,0.6772402597402598,0.7627277628032345,0.6553530997304582,0.8707816711590297,
C2,0.03,2,4,0,0.7547205750224617,0.5850646126465391,0.778095238095238,0.8049595687331534,0.6924743935309974,0.7433530997304583,
C2,0.03,2,5,0,0.6533294535653026,0.582465597957157,0.594935064935065,0.8021347708894879,0.5026630727762803,0.7135849056603774,
C2,0.03,2,6,0,0.685161990525198,0.5862627194057184,0.6859956709956709,0.6348032345013477,0.5200862533692723,0.8997628032345013,
C2,0.03,2,7,0,0.7145674977538184,0.5813671722187115,0.7872619047619048,0.710533692722372,0.6249919137466307,0.7354824797843666,
C2,0.03,2,8,0,0.6791220187045658,0.5656546490583234,0.7121969696969697,0.8304366576819406,0.5588894878706199,0.6149649595687331,
C2,0.03,2,9,0,0.7245145287102834,0.5609723816402069,0.7711147186147187,0.6428571428571429,0.6330458221024259,0.8510404312668464,
C2,0.05,2,0,0,0.6612153781752838,0.5843442762136903,0.5911580086580086,0.7159676549865229,0.4872452830188679,0.8504905660377359,
C2,0.05,2,1,0,0.6191706076941926,0.5485271927675105,0.5494155844155844,0.779266846361186,0.5194393530997305,0.6285606469002695,
C2,0.05,2,2,0,0.7080120885403904,0.5624334206012458,0.72995670995671,0.6934231805929919,0.6779191374663072,0.7307493261455525,
C2,0.05,2,3,0,0.6240297108551824,0.5499226733213823,0.5743506493506493,0.6009164420485176,0.6053800539083558,0.7154716981132074,
C2,0.05,2,4,0,0.6133899371069182,0.5296766788325875,0.6676190476190476,0.5432452830188679,0.5893153638814016,0.6533800539083557,
C2,0.05,2,5,0,0.5393414706362819,0.5368041673652397,0.5648160173160173,0.5681832884097036,0.44279245283018864,0.5815741239892184,
C2,0.05,2,6,0,0.7185029506656866,0.5680092706036102,0.7416991341991341,0.7855633423180592,0.7055849056603773,0.6411644204851752,
C2,0.05,2,7,0,0.6528865474148493,0.5788435496975716,0.6454545454545455,0.6874609164420484,0.4909865229110512,0.787644204851752,
C2,0.05,2,8,0,0.6412751980723679,0.5395192526771474,0.5831385281385282,0.5735741239892183,0.7062425876010782,0.702145552560647,
C2,0.05,2,9,0,0.6833095646491874,0.5749998387908021,0.6995670995670996,0.7026199460916442,0.696010781671159,0.6350404312668463,
C2,0.1,2,0,0,0.7361002613738463,0.5823379202723791,0.7634199134199134,0.7826091644204852,0.6506846361185983,0.7476873315363883,
C2,0.1,2,1,0,0.6001750796373438,0.5207589621566782,0.7684415584415585,0.4498867924528302,0.4901024258760108,0.6922695417789758,
C2,0.1,2,2,0,0.5180996283590624,0.5240603115851379,0.33132034632034635,0.5887654986522912,0.3701132075471698,0.7821994609164421,
C2,0.1,2,3,0,0.6804735767377277,0.5784572387228792,0.5562770562770563,0.7304797843665769,0.7212830188679246,0.7138544474393531,
C2,0.1,2,4,0,0.6038831270930327,0.5310349737981317,0.8104004329004328,0.5332398921832884,0.46732075471698115,0.6045714285714285,
C2,0.1,2,5,0,0.5411786633178142,0.4922439568045328,0.44938311688311683,0.680377358490566,0.6297466307277628,0.40520754716981133,
C2,0.1,2,6,0,0.6579076513109532,0.583484493824613,0.43639610389610395,0.6885175202156334,0.6580377358490567,0.8486792452830189,
C2,0.1,2,7,0,0.6483717124070898,0.5131067914210914,0.6311580086580088,0.7056819407008086,0.6881509433962264,0.5684959568733154,
C2,0.1,2,8,0,0.46235106795720005,0.5062715214279266,0.48927489177489175,0.43411320754716975,0.3834070080862534,0.5426091644204852,
C2,0.1,2,9,0,0.5369307767703995,0.49673599736906593,0.6637662337662338,0.4544582210242587,0.6103288409703505,0.4191698113207547,
C1,0.0,3,0,0,0.6974477150208283,0.61207258067983,0.7402922077922078,0.7860485175202158,0.5703288409703504,0.6931212938005392,
C2,0.0,3,0,0,0.7664126235399821,0.6596997424951745,0.6545238095238095,0.822576819407008,0.6783180592991913,0.9102318059299191,
C2,0.0,3,1,0,0.7585873764600178,0.612662230189539,0.7083333333333333,0.8237520215633424,0.6337789757412399,0.8684851752021562,
C2,0.0,3,2,0,0.7521649718206322,0.6711022302755172,0.6634415584415585,0.7772398921832884,0.7071159029649596,0.8608625336927224,
C2,0.0,3,3,0,0.7547131217838765,0.6479775768752929,0.7101948051948053,0.7894447439353101,0.6774231805929919,0.8417897574123988,
C2,0.0,3,4,0,0.7933239300008168,0.677808801592317,0.7105086580086579,0.8523773584905661,0.7398598382749325,0.8705498652291105,
C2,0.0,3,5,0,0.6856385689781916,0.5764884445246907,0.594025974025974,0.718167115902965,0.6160215633423181,0.8143396226415094,
C2,0.0,3,6,0,0.7359532283753982,0.6369769298890451,0.6647077922077923,0.7611752021563343,0.704679245283019,0.8132506738544474,
C2,0.0,3,7,0,0.800395307522666,0.6746935950510926,0.7418831168831168,0.8475471698113208,0.7064582210242587,0.9056927223719677,
C2,0.0,3,8,0,0.6707711447357674,0.5037298434766161,0.67741341991342,0.7099191374663073,0.5955687331536388,0.7001832884097035,
C2,0.0,3,9,0,0.7501790206648697,0.6470331596572907,0.6869047619047619,0.7882587601078167,0.6740269541778975,0.8515256064690027,
C2,0.01,3,0,0,0.6922467430368373,0.5986218763031077,0.5101190476190476,0.8013261455525607,0.6616819407008087,0.7958598382749325,
C2,0.01,3,1,0,0.7952809973045822,0.6385027212112615,0.7549999999999999,0.7954716981132075,0.7124097035040431,0.9182425876010781,
C2,0.01,3,2,0,0.7218058482398105,0.65444190450397,0.5713419913419914,0.7976603773584906,0.6508571428571429,0.8673638814016171,
C2,0.01,3,3,0,0.7176597851833701,0.6079714724203304,0.7579437229437228,0.6708517520215633,0.6824797843665767,0.7593638814016173,
C2,0.01,3,4,0,0.7750979335130279,0.6642856068129157,0.6438095238095238,0.8183288409703504,0.7633746630727763,0.874878706199461,
C2,0.01,3,5,0,0.6560990055541942,0.5731751656155827,0.6078030303030303,0.6627169811320754,0.5548787061994609,0.7989973045822103,
C2,0.01,3,6,0,0.6192320815976475,0.5472461707441847,0.48457792207792205,0.7521940700808625,0.5676927223719677,0.6724636118598382,
C2,0.01,3,7,0,0.8049627133872416,0.6860867326979541,0.709047619047619,0.8548894878706199,0.737099730458221,0.9188140161725067,
C2,0.01,3,8,0,0.631438362737891,0.5128908785686342,0.5732359307359307,0.7804097035040432,0.5633638814016172,0.6087439353099731,
C2,0.01,3,9,0,0.7033496283590623,0.6135674198360395,0.662034632034632,0.8092291105121293,0.5518598382749327,0.7902749326145553,
C2,0.02,3,0,0,0.5879348403169158,0.5199247582936759,0.44093073593073595,0.6570242587601078,0.6042749326145552,0.6495094339622641,
